theme	card_id	ru	draft_ce	current_reading_hint	current_status	risk_note	decision	corrected_ce	reading_hint	new_status	reviewer_comment
family	family-03	мать	Нана	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
family	family-04	брат	Ваша	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
family	family-05	сестра	Йиша	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
family	family-06	сын	КӀант / воӀ	Ожидает проверки	needs_native_review	Два варианта через /; для A0 лучше выбрать один основной вариант.	defer			needs_native_review	Non-native prefill: проверить, какой один вариант оставить для A0, или подтвердить оба.
family	family-07	дочь	ЙоӀ	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; проверить символ Ӏ.
family	family-08	дедушка	Де да / нена да	Ожидает проверки	needs_native_review	Два варианта через /; возможна зависимость от стороны семьи.	defer			needs_native_review	Non-native prefill: выбрать один вариант для MVP или подтвердить оба.
home	home-01	дом	ЦӀа	Ожидает проверки	needs_native_review	Источник: Chechnya Info; Мациев найден для цхьаъ, не для этой карточки.	defer			needs_native_review	Non-native prefill: source-backed draft; проверить символ Ӏ.
home	home-02	комната	Чоь	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
home	home-03	ключ	ДогӀа	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; проверить символ Ӏ.
home	home-04	ванная	Ваннин чоь	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: проверить, подходит ли для A0.
home	home-05	туалет	ХьаштагӀа	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; проверить символ Ӏ.
home	home-06	телевизор	Телевизор	Ожидает проверки	needs_native_review	Заимствование; подтвердить, стоит ли оставлять в MVP.	defer			needs_native_review	Non-native prefill: проверить учебную ценность для MVP.
home	home-07	стол	Стол	Ожидает проверки	needs_native_review	Заимствование; подтвердить, стоит ли оставлять в MVP.	defer			needs_native_review	Non-native prefill: проверить учебную ценность для MVP.
home	home-08	стул	ГӀант	Ожидает проверки	needs_native_review	Источник Chechnya Info дает Г1ант; нормализовано к Ӏ для review.	defer			needs_native_review	Non-native prefill: подтвердить правильный символ и написание.
food	food-01	хлеб	Кхаллар / бепиг	Ожидает проверки	needs_native_review	Два варианта через /; для A0 лучше выбрать один основной вариант.	defer			needs_native_review	Non-native prefill: выбрать один основной вариант для первой версии.
food	food-02	соль	Туьха	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
food	food-03	молоко	Шура	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
food	food-04	кефир	Йетта шура	Ожидает проверки	needs_native_review	Проверить, подходит ли фраза/описательное название для A0.	defer			needs_native_review	Non-native prefill: проверить, подходит ли для A0 и нужно ли заменить.
food	food-05	вода	Хи	Ожидает проверки	needs_native_review	Источник: Chechnya Info; Govzalla дает фразу "Дай воды" как Хи ло.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
food	food-06	тарелка	Бошхап	Ожидает проверки	needs_native_review	Источник: Chechnya Info; Мациев подтверждает слово в контексте "разбить тарелку".	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
food	food-07	чашка	Кад	Ожидает проверки	needs_native_review	Источник: Chechnya Info; Мациев подтверждает "чаша/миска/пиала".	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
food	food-08	ложка	Ӏайг	Ожидает проверки	needs_native_review	Источник: Chechnya Info; Мациев встречает Ӏайг в словаре.	defer			needs_native_review	Non-native prefill: source-backed draft; проверить символ Ӏ и подсказку чтения.
numbers	numbers-01	один	Цхьаъ	Ожидает проверки	needs_native_review	Источник: Chechnya Info; Мациев подтверждает цхьаъ как "один".	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
numbers	numbers-02	два	Шиъ	Ожидает проверки	needs_native_review	Источник: Chechnya Info; Мациев содержит числительное шиъ в грамматическом разделе.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
numbers	numbers-03	три	Кхоъ	Ожидает проверки	needs_native_review	Источник: Chechnya Info; Мациев содержит числительное кхоъ в грамматическом разделе.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
numbers	numbers-04	четыре	Диъ	Ожидает проверки	needs_native_review	Источник: Chechnya Info; Мациев содержит числительное диъ в грамматическом разделе.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
numbers	numbers-05	пять	Пхиъ	Ожидает проверки	needs_native_review	Источник: Chechnya Info; Мациев содержит числительное пхиъ в грамматическом разделе.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
numbers	numbers-06	шесть	Ялх	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; нужен проверяющий для статуса reviewed/published.
numbers	numbers-07	семь	ВорхӀ	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; проверить символ Ӏ.
numbers	numbers-08	восемь	БархӀ	Ожидает проверки	needs_native_review	Источник: Chechnya Info.	defer			needs_native_review	Non-native prefill: source-backed draft; проверить символ Ӏ.
